prev_comm,prio,timeslice
smithay-clipboa,120,24036
surface-HDMI-A-,120,15500
cosmic-comp,120,53462
surface-eDP-1,120,11953
cosmic-panel,120,361312
kworker/u96:2,120,18084
kworker/u96:2,120,8867
kworker/u96:3,120,6853
kworker/u98:2,120,229188
surface-HDMI-A-,120,11032
surface-eDP-1,120,11161
surface-HDMI-A-,120,6462
surface-eDP-1,120,8757
cosmic-comp,120,220332
surface-HDMI-A-,120,6954
surface-eDP-1,120,7124
kworker/u97:0,120,5801
kworker/u98:2,120,10500
cosmic-comp,120,24567
surface-HDMI-A-,120,5521
surface-eDP-1,120,52661
kworker/2:1,120,19207
surface-eDP-1,120,247424
cosmic-com:cs0,120,39546
surface-eDP-1,120,32251
kworker/u96:3,120,39706
cosmic-com:cs0,120,35508
kworker/u96:3,120,14157
surface-eDP-1,120,36399
kworker/u96:3,120,7354
cosmic-com:cs0,120,33434
kworker/u96:3,120,11743
surface-eDP-1,120,81646
kworker/u96:3,120,5050
cosmic-com:cs0,120,33223
kworker/u96:3,120,18074
surface-eDP-1,120,67719
kworker/u98:2,120,21301
kworker/u96:3,120,5100
kworker/u98:2,120,99991
surface-HDMI-A-,120,691364
cosmic-com:cs0,120,48613
kworker/u96:3,120,30709
surface-HDMI-A-,120,59785
cosmic-com:cs0,120,43232
kworker/u96:3,120,11242
kworker/u96:3,120,2254
surface-HDMI-A-,120,52490
kworker/u96:3,120,5130
cosmic-com:cs0,120,32973
kworker/u96:3,120,10319
kworker/u96:3,120,1934
surface-HDMI-A-,120,303982
kworker/u96:3,120,6081
cosmic-comp,120,161379
surface-HDMI-A-,120,10099
surface-eDP-1,120,11812
kworker/u97:0,120,314622
kworker/u97:0,120,51098
cosmic-comp,120,153574
cosmic-comp,120,51428
surface-eDP-1,120,20950
surface-HDMI-A-,120,209100
VizCompositorTh,120,134778
cosmic-comp,120,205493
surface-HDMI-A-,120,9418
surface-eDP-1,120,11783
kworker/u98:2,120,9348
cosmic-comp,120,18756
surface-HDMI-A-,120,6653
surface-eDP-1,120,27963
surface-eDP-1,120,262022
cosmic-com:cs0,120,39395
surface-eDP-1,120,24347
kworker/u96:3,120,26201
cosmic-com:cs0,120,33233
kworker/u96:3,120,6963
surface-eDP-1,120,25458
cosmic-com:cs0,120,31310
kworker/u96:3,120,4369
surface-eDP-1,120,22513
cosmic-com:cs0,120,20509
surface-eDP-1,120,25199
kworker/u96:3,120,18846
cosmic-com:cs0,120,26130
kworker/u96:3,120,2094
surface-eDP-1,120,24006
kworker/u96:3,120,6522
kworker/u96:3,120,2915
cosmic-com:cs0,120,26511
kworker/u96:3,120,9398
surface-eDP-1,120,41199
kworker/u96:3,120,2565
kworker/u96:3,120,11542
cosmic-com:cs0,120,42261
surface-eDP-1,120,21511
